id,name,platform,year,genre,publisher,physical_sales,digital_sales,metascore,userscore,has_digital,1980_physical,1981_physical,1982_physical,1983_physical,1984_physical,1985_physical,1986_physical,1987_physical,1988_physical,1989_physical,1990_physical,1991_physical,1992_physical,1993_physical,1994_physical,1995_physical,1996_physical,1997_physical,1998_physical,1999_physical,2000_physical,2001_physical,2002_physical,2003_physical,2004_physical,2005_physical,2006_physical,2007_physical,2008_physical,2009_physical,2010_physical,2011_physical,2012_physical,2013_physical,2014_physical,2015_physical,2016_physical,2017_physical,1980_digital,1981_digital,1982_digital,1983_digital,1984_digital,1985_digital,1986_digital,1987_digital,1988_digital,1989_digital,1990_digital,1991_digital,1992_digital,1993_digital,1994_digital,1995_digital,1996_digital,1997_digital,1998_digital,1999_digital,2000_digital,2001_digital,2002_digital,2003_digital,2004_digital,2005_digital,2006_digital,2007_digital,2008_digital,2009_digital,2010_digital,2011_digital,2012_digital,2013_digital,2014_digital,2015_digital,2016_digital,2017_digital
7313,Deadly Duck,2600,1981,Shooter,20th Century Fox Video Games,0.22,0,N/A,N/A,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7315,Reactor,2600,1981,Action,Parker Bros.,0.22,0,N/A,N/A,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7342,Crazy Climber,2600,1981,Action,Atari,0.22,0,N/A,N/A,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7541,RealSports Baseball,2600,1981,Sports,Atari,0.21,0,N/A,N/A,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8079,International Soccer,2600,1981,Sports,Mattel Interactive,0.19,0,N/A,N/A,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8646,Armor Ambush,2600,1981,Action,Mattel Interactive,0.17,0,N/A,N/A,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9725,RealSports Volleyball,2600,1981,Sports,Atari,0.13,0,N/A,N/A,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,0.01,0,0.01,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Pac-Man,2600,1982,Puzzle,Atari,7.81,0,N/A,N/A,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1155,Dig Dug,2600,1982,Puzzle,Atari,1.64,0,N/A,N/A,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1204,Mario Bros.,2600,1982,Platform,Atari,1.59,0,N/A,N/A,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
